Age,Cluster,District,Female_15_29,Female_30,Gendered_HH_Type,KFP_Comp_Feed,KFP_Comp_Feed_2,KFP_criticalhandwashing,KFP_Dietary_Diversity,KFP_Exclusive,KFP_Initiation,KFP_minmeal,Men_15_29,Men_30,Participate_CareGroup,Participate_CashTransfer,Participate_Disaster,Participate_FFB,Participate_GenderedClimate,Participate_IGA,Participate_Natural,Participate_PTS,Participate_ResilienceDesign,Participate_SAADialoguesGender,Participate_SuppFeeding,Participate_TVET,Participate_VillageSavings,Participate_WASH,Sex,Village,Ward,Frame1_3,Frame3,program,KFP_contbf,KFP_micronutrient,KFP_TimelyImmun,Participate_AgrLoan,Participate_CommSupp,Participate_DykeCon,Participate_Irrigation,Participate_Livestock,Participate_Marketing,Participate_Meg,Participate_Radio,Participate_TVET_formal,Participate_TVET_informal,Participate_WaterManage,Participate_YouthGroup,source_caregroup,source_cluster,source_healthfacil,source_interpersonal,source_other,source_promoter,source_radio,source_socialmedia,source_tfd,source_training,frame_c06
38,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,Mutare,0,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,1,0,NA,0,0,1,0,0,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,NA,0,0,1,0,1,0,1,1,Male,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,Mutare,0,2,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,1,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,Mutare,1,0,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,Mutare,1,0,Adult Male and Adult Female (M&F),1,1,1,1,1,1,0,0,1,1,0,0,1,0,NA,0,0,0,0,1,0,0,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,NA,0,0,0,0,1,0,0,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,Mutare,1,0,Adult Male and Adult Female (M&F),0,1,0,0,1,0,0,0,1,1,0,0,1,0,NA,1,1,1,0,1,0,1,1,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,Mutare,1,1,Adult Male and Adult Female (M&F),NA,NA,NA,NA,NA,NA,NA,0,1,1,0,1,1,0,NA,1,0,1,0,1,0,1,0,Female,Murwira,17,NA,NA,TAKUNDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
